trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.25, 'e': 0.3099999999999994}",30,15,-13.752919638100682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.25, 'e': 0.3049999999999994}",25,17,13.304743777249792,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.25, 'e': 0.2999999999999994}",25,12,-20.1193056104207,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.25, 'e': 0.2949999999999994}",25,0,14.451775456665793,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
142,False,"{'a': 0.25, 'e': 0.28999999999999937}",20,0,-75.92936370131827,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
143,False,"{'a': 0.25, 'e': 0.28499999999999936}",25,6,12.691385013984348,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.25, 'e': 0.27999999999999936}",20,9,-31.694602579023275,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.25, 'e': 0.27499999999999936}",20,0,18.753965281718067,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
146,False,"{'a': 0.25, 'e': 0.26999999999999935}",30,16,5.892121644023668,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.25, 'e': 0.26499999999999935}",20,2,9.13973626775898,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.25, 'e': 0.25999999999999934}",30,16,-29.89554966645251,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
149,False,"{'a': 0.25, 'e': 0.25499999999999934}",20,0,33.51639926285513,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.25, 'e': 0.24999999999999933}",25,3,14.402527279102136,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.25, 'e': 0.24499999999999933}",25,13,13.267660359017158,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.25, 'e': 0.23999999999999932}",25,13,1.8941077108054494,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.25, 'e': 0.23499999999999932}",20,8,-9.763614906492638,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.25, 'e': 0.22999999999999932}",25,5,-10.556799261501311,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.25, 'e': 0.2249999999999993}",20,8,-20.805613095360382,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.25, 'e': 0.2199999999999993}",25,12,13.744590867535072,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.25, 'e': 0.2149999999999993}",25,11,-4.545047293002414,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.25, 'e': 0.2099999999999993}",25,13,13.488359567729372,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.25, 'e': 0.2049999999999993}",25,14,3.6279268414703028,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.25, 'e': 0.1999999999999993}",30,13,18.31522220560836,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.25, 'e': 0.19499999999999929}",20,15,8.974275611595232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.25, 'e': 0.18999999999999928}",35,21,-53.30888709462309,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
163,False,"{'a': 0.25, 'e': 0.18499999999999928}",20,5,5.489873101035969,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.25, 'e': 0.17999999999999927}",25,0,24.70720067681533,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.25, 'e': 0.17499999999999927}",20,12,16.405875849735242,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.25, 'e': 0.16999999999999926}",25,10,-6.017810821657209,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.25, 'e': 0.16499999999999926}",20,1,15.834314378171648,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.25, 'e': 0.15999999999999925}",20,0,15.932076762691496,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
169,False,"{'a': 0.25, 'e': 0.15499999999999925}",30,12,23.408181271136183,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.25, 'e': 0.14999999999999925}",20,7,13.315855656494861,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.25, 'e': 0.14499999999999924}",25,19,10.667154903860158,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.25, 'e': 0.13999999999999924}",25,15,8.226255220234494,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.25, 'e': 0.13499999999999923}",20,16,7.976826559405121,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.25, 'e': 0.12999999999999923}",20,6,25.413952591654287,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.25, 'e': 0.12499999999999922}",25,9,19.08887212640699,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.25, 'e': 0.11999999999999922}",20,12,14.64057195876379,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.25, 'e': 0.11499999999999921}",20,6,15.733703252938003,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.25, 'e': 0.10999999999999921}",30,11,26.8937380101154,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.25, 'e': 0.1049999999999992}",20,7,11.886184447158675,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.25, 'e': 0.0999999999999992}",30,14,24.03840737513221,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.25, 'e': 0.0949999999999992}",25,13,23.356323723434897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
